trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,8,-13.309435644090696,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-175.9033808183324,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",35,9,-132.4880941197187,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 2}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-131.90763294136045,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,2,-128.3402080849513,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-100.74545798833852,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-90.62575757670396,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-74.66332294130018,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-14.22043903623451,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,22,9.384542841142407,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",30,3,-35.13112324829731,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-61.94871464208,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,0,-102.32647242569713,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,13,-0.6548264466664366,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",35,0,-91.5797884669234,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,14,-2.8781255739158556,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,3,-32.94311019422939,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,13,0.4572815711361291,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-71.13233961896253,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-16.753712126273182,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,7,-39.5275771513777,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,0,-2.7644977500972923,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,3,-9.374058843963837,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,10,15.921852264829758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,12,-3.035531795831147,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,4,-1.8929660743315244,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,-17.67265332238984,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,0,-20.209433736149556,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,10,-110.464734944847,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 2}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,12,-36.265061727498406,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,0,-73.1404582638672,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,-47.29633481570426,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",25,0,-13.839361640600593,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,18,-4.6459174673678145,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-12.513198075974547,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,9,11.079809347563154,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,1,-55.2854892599085,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,14,-30.03754722070944,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,17,1.4561676836217732,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,10,-9.338565834294469,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,11,-3.5048883544898044,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,-58.80842949097542,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,0,-47.92727407098512,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,10,-79.33414786284968,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",30,0,-10.81326693915707,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,0,-54.44886705062028,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
